Date,Year,Month,cashInReport,Card2,Card,DD,UE,GH,CN,DD2,UE2,GH2,CN2,DD Fees,UE Fees,GH Fees,Catering,otherCash,Foodja,Foodja2,Foodja Fees,Zelle,Ez Cater,Ez Cater2,EzCater Fees,Relish,Relish2,Relish Fees,waiter.com,CC Fees,createdAt,updatedAt,createdBy
24-Jan-24,2024,Jan,52.2,1310.62,1350.53,277.38,252.13,39.36,,,,,,277.38,252.13,39.36,,141,260.84,,83.4688,,,,0,,,0,,39.91,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
25-Jan-24,2024,Jan,20.8,1607.38,1658.06,493.04,126.66,,,,,,,493.04,126.66,0,,61,112.92,,36.1344,,,,0,,,0,,50.68,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
26-Jan-24,2024,Jan,12.92,2038.74,2108.45,709.02,337.61,372.84,,,,,,709.02,337.61,372.84,200,310.3,681.34,,218.0288,,,,0,,,0,,69.71,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
27-Jan-24,2024,Jan,38.75,3017.98,3114.41,633.54,89.18,63.17,,,,,,633.54,89.18,63.17,,302,,,0,,,,0,,,0,,96.43,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
28-Jan-24,2024,Jan,4.3,2345.12,2436.69,361.65,568.24,128.81,,2077.47,,,,-1715.82,568.24,128.81,,146,,,0,,,,0,,,0,,91.57,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
29-Jan-24,2024,Jan,,1221.33,1260.54,122.57,70.58,27.06,,,,,,122.57,70.58,27.06,29,72,346.71,,110.9472,,,,0,,,0,,39.21,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
30-Jan-24,2024,Jan,71,1506.27,1553.42,104.03,231.01,149.8,,,,,,104.03,231.01,149.8,,179,,,0,,,,0,,,0,,47.15,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
31-Jan-24,2024,Jan,,1049,1083.24,190.7,160.99,81.48,,,4560.89,1813.25,,190.7,-4399.9,-1731.77,270,234,275.74,,88.2368,,,,0,,,0,,34.24,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
1-Feb-24,2024,Feb,0,1240.89,1280.55,217.44,257.31,90.36,,,,,,217.44,257.31,90.36,,66,,,0,,,,0,,,0,,39.66,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
2-Feb-24,2024,Feb,4.29,2682.25,2768.89,488.03,391.87,21.06,,,,,,488.03,391.87,21.06,145,257,,,0,,,,0,,,0,,86.64,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,1
